2026-04-29 19:58:59,896 | INFO     | werkzeug | [31m[1mWARNING: This is a development server. Do not use it in a production deployment. Use a production WSGI server instead.[0m
2026-04-29 20:04:36,233 | INFO     | werkzeug | 127.0.0.1 - - [29/Apr/2026 20:04:36] "POST /api/logs/clear HTTP/1.1" 200 -
2026-04-29 20:04:39,321 | INFO     | werkzeug | 127.0.0.1 - - [29/Apr/2026 20:04:39] "GET /api/logs?session_id=sess_j1erm7tqn&limit=1000 HTTP/1.1" 200 -
2026-04-29 20:04:43,431 | INFO     | web_app | 日志已清空
2026-04-29 20:04:43,432 | INFO     | werkzeug | 127.0.0.1 - - [29/Apr/2026 20:04:43] "POST /api/logs/clear HTTP/1.1" 200 -
2026-04-29 20:04:43,908 | INFO     | web_app | 日志已清空
2026-04-29 20:04:43,909 | INFO     | werkzeug | 127.0.0.1 - - [29/Apr/2026 20:04:43] "POST /api/logs/clear HTTP/1.1" 200 -
2026-04-29 20:05:23,518 | INFO     | werkzeug |  * Detected change in 'D:\\trae_projects\\first-agent\\agents\\DotaHelperAgent\\tests\\run_api_e2e_tests.py', reloading
2026-04-29 20:05:23,521 | INFO     | werkzeug |  * Detected change in 'D:\\trae_projects\\first-agent\\agents\\DotaHelperAgent\\core\\agent_controller.py', reloading
2026-04-29 20:05:23,565 | INFO     | werkzeug |  * Detected change in 'D:\\trae_projects\\first-agent\\agents\\DotaHelperAgent\\core\\__init__.py', reloading
2026-04-29 20:05:23,605 | INFO     | werkzeug |  * Detected change in 'D:\\trae_projects\\first-agent\\agents\\DotaHelperAgent\\__init__.py', reloading
2026-04-29 20:05:24,677 | INFO     | werkzeug |  * Restarting with watchdog (windowsapi)
2026-04-29 20:05:25,895 | WARNING  | werkzeug |  * Debugger is active!
2026-04-29 20:05:25,900 | INFO     | werkzeug |  * Debugger PIN: 108-400-749
2026-04-29 20:05:28,997 | INFO     | werkzeug | 127.0.0.1 - - [29/Apr/2026 20:05:28] "GET /api/logs/stream?session_id=sess_j1erm7tqn HTTP/1.1" 200 -
2026-04-29 20:05:28,997 | INFO     | werkzeug | 127.0.0.1 - - [29/Apr/2026 20:05:28] "GET /api/logs/stream?session_id=sess_j1erm7tqn HTTP/1.1" 200 -
2026-04-29 20:07:41,858 | INFO     | werkzeug |  * Detected change in 'D:\\trae_projects\\first-agent\\agents\\DotaHelperAgent\\utils\\log_config.py', reloading
2026-04-29 20:07:41,862 | INFO     | werkzeug |  * Detected change in 'D:\\trae_projects\\first-agent\\agents\\DotaHelperAgent\\utils\\memory_log_handler.py', reloading
2026-04-29 20:07:42,922 | INFO     | werkzeug |  * Restarting with watchdog (windowsapi)
2026-04-29 20:07:43,983 | WARNING  | werkzeug |  * Debugger is active!
2026-04-29 20:07:44,000 | INFO     | werkzeug |  * Debugger PIN: 108-400-749
2026-04-29 20:07:47,248 | INFO     | werkzeug | 127.0.0.1 - - [29/Apr/2026 20:07:47] "GET /api/logs/stream?session_id=sess_j1erm7tqn HTTP/1.1" 200 -
2026-04-29 20:07:47,248 | INFO     | werkzeug | 127.0.0.1 - - [29/Apr/2026 20:07:47] "GET /api/logs/stream?session_id=sess_j1erm7tqn HTTP/1.1" 200 -
2026-04-29 20:07:47,248 | INFO     | werkzeug | 127.0.0.1 - - [29/Apr/2026 20:07:47] "GET /api/logs/stream?session_id=sess_j1erm7tqn HTTP/1.1" 200 -
2026-04-29 20:07:47,248 | INFO     | werkzeug | 127.0.0.1 - - [29/Apr/2026 20:07:47] "GET /api/logs/stream?session_id=sess_j1erm7tqn HTTP/1.1" 200 -
